"행정구역","2026년01월_계_총인구수","2026년01월_계_연령구간인구수","2026년01월_계_0~9세","2026년01월_계_10~19세","2026년01월_계_20~29세","2026년01월_계_30~39세","2026년01월_계_40~49세","2026년01월_계_50~59세","2026년01월_계_60~69세","2026년01월_계_70~79세","2026년01월_계_80~89세","2026년01월_계_90~99세","2026년01월_계_100세 이상","2026년01월_남_총인구수","2026년01월_남_연령구간인구수","2026년01월_남_0~9세","2026년01월_남_10~19세","2026년01월_남_20~29세","2026년01월_남_30~39세","2026년01월_남_40~49세","2026년01월_남_50~59세","2026년01월_남_60~69세","2026년01월_남_70~79세","2026년01월_남_80~89세","2026년01월_남_90~99세","2026년01월_남_100세 이상","2026년01월_여_총인구수","2026년01월_여_연령구간인구수","2026년01월_여_0~9세","2026년01월_여_10~19세","2026년01월_여_20~29세","2026년01월_여_30~39세","2026년01월_여_40~49세","2026년01월_여_50~59세","2026년01월_여_60~69세","2026년01월_여_70~79세","2026년01월_여_80~89세","2026년01월_여_90~99세","2026년01월_여_100세 이상","2026년02월_계_총인구수","2026년02월_계_연령구간인구수","2026년02월_계_0~9세","2026년02월_계_10~19세","2026년02월_계_20~29세","2026년02월_계_30~39세","2026년02월_계_40~49세","2026년02월_계_50~59세","2026년02월_계_60~69세","2026년02월_계_70~79세","2026년02월_계_80~89세","2026년02월_계_90~99세","2026년02월_계_100세 이상","2026년02월_남_총인구수","2026년02월_남_연령구간인구수","2026년02월_남_0~9세","2026년02월_남_10~19세","2026년02월_남_20~29세","2026년02월_남_30~39세","2026년02월_남_40~49세","2026년02월_남_50~59세","2026년02월_남_60~69세","2026년02월_남_70~79세","2026년02월_남_80~89세","2026년02월_남_90~99세","2026년02월_남_100세 이상","2026년02월_여_총인구수","2026년02월_여_연령구간인구수","2026년02월_여_0~9세","2026년02월_여_10~19세","2026년02월_여_20~29세","2026년02월_여_30~39세","2026년02월_여_40~49세","2026년02월_여_50~59세","2026년02월_여_60~69세","2026년02월_여_70~79세","2026년02월_여_80~89세","2026년02월_여_90~99세","2026년02월_여_100세 이상","2026년03월_계_총인구수","2026년03월_계_연령구간인구수","2026년03월_계_0~9세","2026년03월_계_10~19세","2026년03월_계_20~29세","2026년03월_계_30~39세","2026년03월_계_40~49세","2026년03월_계_50~59세","2026년03월_계_60~69세","2026년03월_계_70~79세","2026년03월_계_80~89세","2026년03월_계_90~99세","2026년03월_계_100세 이상","2026년03월_남_총인구수","2026년03월_남_연령구간인구수","2026년03월_남_0~9세","2026년03월_남_10~19세","2026년03월_남_20~29세","2026년03월_남_30~39세","2026년03월_남_40~49세","2026년03월_남_50~59세","2026년03월_남_60~69세","2026년03월_남_70~79세","2026년03월_남_80~89세","2026년03월_남_90~99세","2026년03월_남_100세 이상","2026년03월_여_총인구수","2026년03월_여_연령구간인구수","2026년03월_여_0~9세","2026년03월_여_10~19세","2026년03월_여_20~29세","2026년03월_여_30~39세","2026년03월_여_40~49세","2026년03월_여_50~59세","2026년03월_여_60~69세","2026년03월_여_70~79세","2026년03월_여_80~89세","2026년03월_여_90~99세","2026년03월_여_100세 이상","2026년04월_계_총인구수","2026년04월_계_연령구간인구수","2026년04월_계_0~9세","2026년04월_계_10~19세","2026년04월_계_20~29세","2026년04월_계_30~39세","2026년04월_계_40~49세","2026년04월_계_50~59세","2026년04월_계_60~69세","2026년04월_계_70~79세","2026년04월_계_80~89세","2026년04월_계_90~99세","2026년04월_계_100세 이상","2026년04월_남_총인구수","2026년04월_남_연령구간인구수","2026년04월_남_0~9세","2026년04월_남_10~19세","2026년04월_남_20~29세","2026년04월_남_30~39세","2026년04월_남_40~49세","2026년04월_남_50~59세","2026년04월_남_60~69세","2026년04월_남_70~79세","2026년04월_남_80~89세","2026년04월_남_90~99세","2026년04월_남_100세 이상","2026년04월_여_총인구수","2026년04월_여_연령구간인구수","2026년04월_여_0~9세","2026년04월_여_10~19세","2026년04월_여_20~29세","2026년04월_여_30~39세","2026년04월_여_40~49세","2026년04월_여_50~59세","2026년04월_여_60~69세","2026년04월_여_70~79세","2026년04월_여_80~89세","2026년04월_여_90~99세","2026년04월_여_100세 이상","2026년05월_계_총인구수","2026년05월_계_연령구간인구수","2026년05월_계_0~9세","2026년05월_계_10~19세","2026년05월_계_20~29세","2026년05월_계_30~39세","2026년05월_계_40~49세","2026년05월_계_50~59세","2026년05월_계_60~69세","2026년05월_계_70~79세","2026년05월_계_80~89세","2026년05월_계_90~99세","2026년05월_계_100세 이상","2026년05월_남_총인구수","2026년05월_남_연령구간인구수","2026년05월_남_0~9세","2026년05월_남_10~19세","2026년05월_남_20~29세","2026년05월_남_30~39세","2026년05월_남_40~49세","2026년05월_남_50~59세","2026년05월_남_60~69세","2026년05월_남_70~79세","2026년05월_남_80~89세","2026년05월_남_90~99세","2026년05월_남_100세 이상","2026년05월_여_총인구수","2026년05월_여_연령구간인구수","2026년05월_여_0~9세","2026년05월_여_10~19세","2026년05월_여_20~29세","2026년05월_여_30~39세","2026년05월_여_40~49세","2026년05월_여_50~59세","2026년05월_여_60~69세","2026년05월_여_70~79세","2026년05월_여_80~89세","2026년05월_여_90~99세","2026년05월_여_100세 이상","2026년06월_계_총인구수","2026년06월_계_연령구간인구수","2026년06월_계_0~9세","2026년06월_계_10~19세","2026년06월_계_20~29세","2026년06월_계_30~39세","2026년06월_계_40~49세","2026년06월_계_50~59세","2026년06월_계_60~69세","2026년06월_계_70~79세","2026년06월_계_80~89세","2026년06월_계_90~99세","2026년06월_계_100세 이상","2026년06월_남_총인구수","2026년06월_남_연령구간인구수","2026년06월_남_0~9세","2026년06월_남_10~19세","2026년06월_남_20~29세","2026년06월_남_30~39세","2026년06월_남_40~49세","2026년06월_남_50~59세","2026년06월_남_60~69세","2026년06월_남_70~79세","2026년06월_남_80~89세","2026년06월_남_90~99세","2026년06월_남_100세 이상","2026년06월_여_총인구수","2026년06월_여_연령구간인구수","2026년06월_여_0~9세","2026년06월_여_10~19세","2026년06월_여_20~29세","2026년06월_여_30~39세","2026년06월_여_40~49세","2026년06월_여_50~59세","2026년06월_여_60~69세","2026년06월_여_70~79세","2026년06월_여_80~89세","2026년06월_여_90~99세","2026년06월_여_100세 이상"
"경기도 평택시 중앙동(4122051000)","44,948","44,948","1,744","3,997","7,748","6,138","5,983","8,557","6,409","2,751","1,389","227","5","23,680","23,680","863","2,004","4,587","3,855","3,195","4,251","3,178","1,217","483","47","0","21,268","21,268","881","1,993","3,161","2,283","2,788","4,306","3,231","1,534","906","180","5","45,022","45,022","1,718","4,000","7,691","6,218","5,980","8,569","6,452","2,773","1,383","233","5","23,723","23,723","857","2,008","4,545","3,899","3,198","4,263","3,198","1,228","479","48","0","21,299","21,299","861","1,992","3,146","2,319","2,782","4,306","3,254","1,545","904","185","5","45,149","45,149","1,705","3,985","7,713","6,294","5,982","8,550","6,480","2,814","1,387","234","5","23,832","23,832","852","2,004","4,567","3,960","3,210","4,255","3,217","1,240","479","48","0","21,317","21,317","853","1,981","3,146","2,334","2,772","4,295","3,263","1,574","908","186","5","45,164","45,164","1,695","3,980","7,717","6,281","5,967","8,538","6,518","2,844","1,385","233","6","23,844","23,844","849","1,993","4,588","3,946","3,211","4,243","3,230","1,255","482","47","0","21,320","21,320","846","1,987","3,129","2,335","2,756","4,295","3,288","1,589","903","186","6","45,295","45,295","1,694","3,983","7,713","6,350","5,999","8,549","6,515","2,862","1,381","244","5","23,949","23,949","858","1,992","4,596","3,995","3,220","4,266","3,220","1,269","483","50","0","21,346","21,346","836","1,991","3,117","2,355","2,779","4,283","3,295","1,593","898","194","5","45,272","45,272","1,678","3,983","7,665","6,354","6,023","8,530","6,527","2,881","1,375","251","5","23,933","23,933","853","1,991","4,579","3,992","3,229","4,263","3,222","1,271","481","52","0","21,339","21,339","825","1,992","3,086","2,362","2,794","4,267","3,305","1,610","894","199","5"
"경기도 평택시 서정동(4122052000)","24,408","24,408","937","1,857","2,750","3,418","3,508","4,803","3,962","1,974","1,064","132","3","12,684","12,684","473","938","1,512","2,054","1,961","2,545","1,973","815","382","31","0","11,724","11,724","464","919","1,238","1,364","1,547","2,258","1,989","1,159","682","101","3","24,425","24,425","939","1,848","2,729","3,430","3,513","4,798","3,987","1,981","1,063","134","3","12,711","12,711","470","933","1,510","2,072","1,965","2,545","1,979","821","384","32","0","11,714","11,714","469","915","1,219","1,358","1,548","2,253","2,008","1,160","679","102","3","24,469","24,469","939","1,848","2,726","3,447","3,518","4,795","4,003","1,990","1,062","138","3","12,754","12,754","472","940","1,511","2,079","1,978","2,536","1,991","830","385","32","0","11,715","11,715","467","908","1,215","1,368","1,540","2,259","2,012","1,160","677","106","3","24,453","24,453","929","1,837","2,715","3,441","3,516","4,808","4,010","2,003","1,052","139","3","12,759","12,759","466","933","1,514","2,074","1,976","2,546","2,001","832","384","33","0","11,694","11,694","463","904","1,201","1,367","1,540","2,262","2,009","1,171","668","106","3","24,464","24,464","930","1,819","2,725","3,442","3,518","4,809","4,015","2,020","1,043","140","3","12,779","12,779","465","920","1,531","2,081","1,976","2,558","2,008","833","377","30","0","11,685","11,685","465","899","1,194","1,361","1,542","2,251","2,007","1,187","666","110","3","24,537","24,537","934","1,822","2,737","3,463","3,539","4,791","4,042","2,019","1,047","140","3","12,833","12,833","470","915","1,550","2,094","1,992","2,545","2,020","838","377","32","0","11,704","11,704","464","907","1,187","1,369","1,547","2,246","2,022","1,181","670","108","3"
"경기도 평택시 송탄동(4122053500)","23,336","23,336","2,521","2,227","2,250","4,496","4,132","3,644","2,616","947","413","90","0","12,082","12,082","1,256","1,161","1,199","2,344","2,268","1,843","1,367","459","166","19","0","11,254","11,254","1,265","1,066","1,051","2,152","1,864","1,801","1,249","488","247","71","0","23,408","23,408","2,519","2,222","2,245","4,503","4,144","3,660","2,652","958","413","92","0","12,135","12,135","1,257","1,164","1,200","2,351","2,283","1,845","1,386","466","163","20","0","11,273","11,273","1,262","1,058","1,045","2,152","1,861","1,815","1,266","492","250","72","0","24,006","24,006","2,573","2,279","2,314","4,670","4,244","3,736","2,693","988","412","97","0","12,454","12,454","1,288","1,189","1,226","2,454","2,339","1,885","1,405","483","164","21","0","11,552","11,552","1,285","1,090","1,088","2,216","1,905","1,851","1,288","505","248","76","0","24,501","24,501","2,627","2,322","2,353","4,787","4,324","3,824","2,753","1,002","411","98","0","12,720","12,720","1,316","1,207","1,248","2,512","2,387","1,944","1,431","490","164","21","0","11,781","11,781","1,311","1,115","1,105","2,275","1,937","1,880","1,322","512","247","77","0","24,864","24,864","2,649","2,350","2,399","4,871","4,366","3,923","2,774","1,014","421","97","0","12,908","12,908","1,337","1,216","1,271","2,567","2,401","1,989","1,446","490","170","21","0","11,956","11,956","1,312","1,134","1,128","2,304","1,965","1,934","1,328","524","251","76","0","25,172","25,172","2,667","2,368","2,445","4,942","4,432","3,966","2,810","1,036","415","91","0","13,069","13,069","1,346","1,229","1,281","2,612","2,434","2,006","1,472","499","169","21","0","12,103","12,103","1,321","1,139","1,164","2,330","1,998","1,960","1,338","537","246","70","0"
"경기도 평택시 지산동(4122055000)","12,065","12,065","375","788","1,857","2,221","1,908","2,193","1,505","794","372","50","2","6,772","6,772","171","401","1,088","1,437","1,141","1,264","778","358","125","9","0","5,293","5,293","204","387","769","784","767","929","727","436","247","41","2","12,072","12,072","366","799","1,868","2,201","1,910","2,199","1,510","793","373","51","2","6,768","6,768","166","407","1,091","1,426","1,141","1,268","782","353","124","10","0","5,304","5,304","200","392","777","775","769","931","728","440","249","41","2","12,144","12,144","361","801","1,876","2,218","1,918","2,217","1,521","799","380","51","2","6,824","6,824","164","406","1,101","1,442","1,150","1,279","789","358","125","10","0","5,320","5,320","197","395","775","776","768","938","732","441","255","41","2","12,120","12,120","350","799","1,882","2,216","1,901","2,218","1,519","802","380","51","2","6,841","6,841","158","406","1,114","1,446","1,148","1,277","798","358","127","9","0","5,279","5,279","192","393","768","770","753","941","721","444","253","42","2","12,121","12,121","342","798","1,896","2,223","1,902","2,200","1,526","799","383","50","2","6,868","6,868","156","406","1,134","1,451","1,150","1,271","800","362","129","9","0","5,253","5,253","186","392","762","772","752","929","726","437","254","41","2","12,157","12,157","337","797","1,914","2,224","1,913","2,195","1,535","806","384","50","2","6,902","6,902","152","405","1,153","1,458","1,157","1,266","810","365","126","10","0","5,255","5,255","185","392","761","766","756","929","725","441","258","40","2"
"경기도 평택시 송북동(4122056000)","20,278","20,278","915","1,797","2,280","2,212","2,980","3,947","3,543","1,663","797","135","9","10,214","10,214","471","927","1,234","1,218","1,504","2,066","1,762","730","264","36","2","10,064","10,064","444","870","1,046","994","1,476","1,881","1,781","933","533","99","7","20,308","20,308","909","1,794","2,277","2,226","2,961","3,948","3,577","1,667","804","136","9","10,231","10,231","463","925","1,239","1,229","1,491","2,073","1,776","729","266","37","3","10,077","10,077","446","869","1,038","997","1,470","1,875","1,801","938","538","99","6","20,286","20,286","896","1,779","2,273","2,229","2,956","3,932","3,572","1,698","805","137","9","10,214","10,214","458","912","1,235","1,231","1,489","2,061","1,774","746","270","35","3","10,072","10,072","438","867","1,038","998","1,467","1,871","1,798","952","535","102","6","20,329","20,329","888","1,783","2,256","2,241","2,952","3,970","3,585","1,699","809","137","9","10,250","10,250","454","917","1,221","1,244","1,485","2,087","1,789","747","268","35","3","10,079","10,079","434","866","1,035","997","1,467","1,883","1,796","952","541","102","6","20,331","20,331","878","1,766","2,266","2,245","2,946","3,971","3,586","1,717","812","135","9","10,263","10,263","448","909","1,232","1,241","1,496","2,089","1,784","757","270","33","4","10,068","10,068","430","857","1,034","1,004","1,450","1,882","1,802","960","542","102","5","20,334","20,334","872","1,762","2,264","2,253","2,923","3,965","3,618","1,721","812","135","9","10,263","10,263","443","907","1,239","1,248","1,479","2,082","1,803","758","267","33","4","10,071","10,071","429","855","1,025","1,005","1,444","1,883","1,815","963","545","102","5"
"경기도 평택시 신장1동(4122057000)","6,651","6,651","416","468","761","1,102","1,116","1,084","841","516","278","69","0","3,445","3,445","213","235","438","599","624","585","430","212","91","18","0","3,206","3,206","203","233","323","503","492","499","411","304","187","51","0","6,619","6,619","408","457","767","1,085","1,110","1,080","837","522","283","70","0","3,424","3,424","212","230","433","588","621","585","432","213","92","18","0","3,195","3,195","196","227","334","497","489","495","405","309","191","52","0","6,562","6,562","391","452","747","1,083","1,091","1,078","836","530","284","70","0","3,384","3,384","205","225","418","589","610","584","429","214","92","18","0","3,178","3,178","186","227","329","494","481","494","407","316","192","52","0","6,568","6,568","394","451","742","1,101","1,093","1,072","837","526","283","69","0","3,383","3,383","208","223","411","595","614","576","433","214","91","18","0","3,185","3,185","186","228","331","506","479","496","404","312","192","51","0","6,618","6,618","396","458","738","1,119","1,107","1,072","848","525","284","71","0","3,421","3,421","210","228","410","609","623","577","442","211","93","18","0","3,197","3,197","186","230","328","510","484","495","406","314","191","53","0","6,636","6,636","392","465","746","1,115","1,103","1,085","846","523","287","73","1","3,427","3,427","213","228","415","602","618","585","439","213","96","18","0","3,209","3,209","179","237","331","513","485","500","407","310","191","55","1"
"경기도 평택시 신장2동(4122058000)","4,577","4,577","89","200","511","599","551","787","862","557","350","69","2","2,507","2,507","51","102","319","399","325","475","446","249","120","21","0","2,070","2,070","38","98","192","200","226","312","416","308","230","48","2","4,589","4,589","89","197","511","602","562","790","858","559","348","71","2","2,519","2,519","53","100","320","397","334","478","443","252","121","21","0","2,070","2,070","36","97","191","205","228","312","415","307","227","50","2","4,586","4,586","90","202","515","603","561","782","852","562","347","70","2","2,525","2,525","55","103","326","399","334","474","441","253","120","20","0","2,061","2,061","35","99","189","204","227","308","411","309","227","50","2","4,585","4,585","85","203","515","609","556","782","846","566","349","72","2","2,539","2,539","50","104","325","410","335","477","439","260","118","21","0","2,046","2,046","35","99","190","199","221","305","407","306","231","51","2","4,591","4,591","88","199","516","618","552","782","846","571","347","70","2","2,550","2,550","50","104","326","418","331","482","441","261","118","19","0","2,041","2,041","38","95","190","200","221","300","405","310","229","51","2","4,581","4,581","88","196","521","613","550","778","843","572","348","70","2","2,555","2,555","50","103","329","421","331","483","440","263","116","19","0","2,026","2,026","38","93","192","192","219","295","403","309","232","51","2"
"경기도 평택시 신평동(4122059000)","19,231","19,231","555","1,265","3,008","2,624","2,413","3,577","3,175","1,677","823","114","0","10,248","10,248","294","652","1,707","1,649","1,343","1,871","1,647","735","310","40","0","8,983","8,983","261","613","1,301","975","1,070","1,706","1,528","942","513","74","0","19,246","19,246","554","1,264","3,002","2,628","2,418","3,572","3,181","1,687","826","114","0","10,272","10,272","296","647","1,707","1,663","1,358","1,864","1,645","741","313","38","0","8,974","8,974","258","617","1,295","965","1,060","1,708","1,536","946","513","76","0","19,298","19,298","543","1,261","3,019","2,643","2,422","3,563","3,200","1,692","839","116","0","10,309","10,309","290","642","1,720","1,666","1,366","1,871","1,658","739","317","40","0","8,989","8,989","253","619","1,299","977","1,056","1,692","1,542","953","522","76","0","19,302","19,302","527","1,259","3,020","2,657","2,413","3,572","3,208","1,693","838","115","0","10,331","10,331","283","645","1,728","1,667","1,362","1,881","1,669","739","316","41","0","8,971","8,971","244","614","1,292","990","1,051","1,691","1,539","954","522","74","0","19,374","19,374","523","1,255","3,037","2,676","2,423","3,590","3,214","1,700","836","120","0","10,375","10,375","279","641","1,740","1,678","1,376","1,888","1,676","739","314","44","0","8,999","8,999","244","614","1,297","998","1,047","1,702","1,538","961","522","76","0","19,418","19,418","530","1,255","3,040","2,695","2,445","3,588","3,205","1,700","841","119","0","10,394","10,394","283","641","1,732","1,697","1,385","1,890","1,668","738","317","43","0","9,024","9,024","247","614","1,308","998","1,060","1,698","1,537","962","524","76","0"
"경기도 평택시 원평동(4122060000)","12,424","12,424","588","676","1,623","2,264","1,639","2,060","1,954","997","541","78","4","6,628","6,628","300","339","901","1,382","969","1,088","979","423","230","17","0","5,796","5,796","288","337","722","882","670","972","975","574","311","61","4","12,492","12,492","591","673","1,618","2,303","1,651","2,064","1,972","994","543","79","4","6,665","6,665","299","335","899","1,403","982","1,089","989","421","230","18","0","5,827","5,827","292","338","719","900","669","975","983","573","313","61","4","12,542","12,542","597","673","1,623","2,341","1,651","2,058","1,968","1,011","535","81","4","6,696","6,696","306","332","908","1,425","980","1,087","986","429","225","18","0","5,846","5,846","291","341","715","916","671","971","982","582","310","63","4","12,605","12,605","591","675","1,650","2,359","1,656","2,068","1,975","1,015","535","77","4","6,752","6,752","311","329","932","1,434","982","1,097","997","430","223","17","0","5,853","5,853","280","346","718","925","674","971","978","585","312","60","4","12,612","12,612","586","677","1,635","2,375","1,649","2,064","1,978","1,028","539","77","4","6,750","6,750","310","331","929","1,434","977","1,093","996","439","224","17","0","5,862","5,862","276","346","706","941","672","971","982","589","315","60","4","12,627","12,627","594","671","1,637","2,390","1,642","2,055","1,981","1,034","541","79","3","6,766","6,766","315","325","947","1,434","978","1,084","995","443","227","18","0","5,861","5,861","279","346","690","956","664","971","986","591","314","61","3"
"경기도 평택시 통복동(4122061000)","6,647","6,647","529","369","758","1,397","857","982","930","550","237","38","0","3,466","3,466","288","177","415","771","492","520","449","260","80","14","0","3,181","3,181","241","192","343","626","365","462","481","290","157","24","0","6,684","6,684","539","377","753","1,396","864","993","931","556","236","39","0","3,484","3,484","291","182","409","773","496","527","453","259","80","14","0","3,200","3,200","248","195","344","623","368","466","478","297","156","25","0","6,725","6,725","544","376","767","1,396","873","990","937","562","238","42","0","3,516","3,516","293","182","418","779","503","526","458","261","80","16","0","3,209","3,209","251","194","349","617","370","464","479","301","158","26","0","6,725","6,725","548","377","767","1,391","875","987","926","576","235","43","0","3,515","3,515","294","184","417","776","506","522","452","268","80","16","0","3,210","3,210","254","193","350","615","369","465","474","308","155","27","0","6,737","6,737","552","369","756","1,403","876","992","927","586","234","42","0","3,520","3,520","295","181","412","779","508","522","455","273","80","15","0","3,217","3,217","257","188","344","624","368","470","472","313","154","27","0","6,745","6,745","552","372","746","1,412","879","994","929","583","235","43","0","3,533","3,533","288","184","408","790","508","523","459","276","82","15","0","3,212","3,212","264","188","338","622","371","471","470","307","153","28","0"
"경기도 평택시 비전1동(4122062000)","50,385","50,385","3,576","6,493","5,768","6,588","9,205","8,942","5,840","2,642","1,135","195","1","25,165","25,165","1,855","3,324","3,032","3,407","4,526","4,439","2,921","1,203","409","49","0","25,220","25,220","1,721","3,169","2,736","3,181","4,679","4,503","2,919","1,439","726","146","1","50,436","50,436","3,556","6,481","5,734","6,619","9,180","8,991","5,879","2,660","1,141","194","1","25,198","25,198","1,856","3,306","3,028","3,422","4,506","4,462","2,942","1,212","414","50","0","25,238","25,238","1,700","3,175","2,706","3,197","4,674","4,529","2,937","1,448","727","144","1","50,394","50,394","3,506","6,487","5,693","6,626","9,146","8,979","5,918","2,693","1,150","194","2","25,193","25,193","1,816","3,309","3,021","3,437","4,479","4,467","2,966","1,222","422","54","0","25,201","25,201","1,690","3,178","2,672","3,189","4,667","4,512","2,952","1,471","728","140","2","50,381","50,381","3,486","6,469","5,709","6,652","9,095","8,988","5,931","2,698","1,154","196","3","25,211","25,211","1,809","3,291","3,035","3,465","4,441","4,481","2,984","1,224","427","54","0","25,170","25,170","1,677","3,178","2,674","3,187","4,654","4,507","2,947","1,474","727","142","3","50,353","50,353","3,447","6,472","5,718","6,682","9,068","8,991","5,929","2,697","1,151","195","3","25,180","25,180","1,791","3,295","3,025","3,491","4,421","4,474","2,971","1,229","426","57","0","25,173","25,173","1,656","3,177","2,693","3,191","4,647","4,517","2,958","1,468","725","138","3","50,406","50,406","3,430","6,438","5,731","6,716","9,050","9,025","5,948","2,708","1,163","194","3","25,211","25,211","1,786","3,272","3,040","3,519","4,414","4,488","2,974","1,239","425","54","0","25,195","25,195","1,644","3,166","2,691","3,197","4,636","4,537","2,974","1,469","738","140","3"
"경기도 평택시 비전2동(4122063000)","55,845","55,845","4,678","6,530","6,093","7,927","9,492","9,531","6,945","3,062","1,373","209","5","27,497","27,497","2,365","3,340","3,163","4,015","4,722","4,549","3,408","1,366","513","56","0","28,348","28,348","2,313","3,190","2,930","3,912","4,770","4,982","3,537","1,696","860","153","5","55,853","55,853","4,663","6,509","6,089","7,890","9,468","9,580","6,985","3,074","1,378","212","5","27,499","27,499","2,345","3,339","3,150","4,007","4,721","4,559","3,432","1,372","517","57","0","28,354","28,354","2,318","3,170","2,939","3,883","4,747","5,021","3,553","1,702","861","155","5","55,820","55,820","4,630","6,486","6,071","7,917","9,415","9,576","7,012","3,113","1,382","213","5","27,465","27,465","2,331","3,326","3,155","4,012","4,697","4,548","3,424","1,395","520","57","0","28,355","28,355","2,299","3,160","2,916","3,905","4,718","5,028","3,588","1,718","862","156","5","55,740","55,740","4,593","6,467","6,064","7,914","9,383","9,572","7,028","3,115","1,384","214","6","27,421","27,421","2,307","3,312","3,150","4,018","4,684","4,556","3,423","1,394","518","59","0","28,319","28,319","2,286","3,155","2,914","3,896","4,699","5,016","3,605","1,721","866","155","6","55,819","55,819","4,586","6,498","6,062","7,926","9,390","9,560","7,064","3,121","1,393","214","5","27,473","27,473","2,297","3,335","3,161","4,010","4,696","4,557","3,441","1,397","521","58","0","28,346","28,346","2,289","3,163","2,901","3,916","4,694","5,003","3,623","1,724","872","156","5","55,821","55,821","4,563","6,513","6,046","7,922","9,393","9,548","7,068","3,161","1,392","211","4","27,482","27,482","2,289","3,333","3,159","4,015","4,696","4,548","3,445","1,422","517","58","0","28,339","28,339","2,274","3,180","2,887","3,907","4,697","5,000","3,623","1,739","875","153","4"
"경기도 평택시 용이동(4122063500)","25,422","25,422","2,188","3,548","3,334","3,833","5,137","4,077","2,175","793","280","57","0","13,563","13,563","1,176","1,894","1,829","2,133","2,689","2,203","1,149","378","98","14","0","11,859","11,859","1,012","1,654","1,505","1,700","2,448","1,874","1,026","415","182","43","0","25,420","25,420","2,185","3,554","3,315","3,816","5,153","4,082","2,173","798","287","57","0","13,535","13,535","1,171","1,885","1,815","2,129","2,691","2,199","1,151","379","101","14","0","11,885","11,885","1,014","1,669","1,500","1,687","2,462","1,883","1,022","419","186","43","0","25,462","25,462","2,159","3,583","3,316","3,810","5,140","4,132","2,170","807","288","57","0","13,567","13,567","1,152","1,912","1,818","2,136","2,681","2,226","1,144","384","100","14","0","11,895","11,895","1,007","1,671","1,498","1,674","2,459","1,906","1,026","423","188","43","0","25,412","25,412","2,144","3,571","3,291","3,804","5,126","4,136","2,182","813","288","57","0","13,543","13,543","1,141","1,901","1,801","2,134","2,679","2,230","1,155","387","101","14","0","11,869","11,869","1,003","1,670","1,490","1,670","2,447","1,906","1,027","426","187","43","0","25,398","25,398","2,123","3,567","3,297","3,817","5,122","4,118","2,200","812","287","55","0","13,554","13,554","1,123","1,899","1,814","2,153","2,671","2,231","1,162","387","101","13","0","11,844","11,844","1,000","1,668","1,483","1,664","2,451","1,887","1,038","425","186","42","0","25,412","25,412","2,126","3,552","3,304","3,810","5,140","4,114","2,200","820","291","55","0","13,568","13,568","1,131","1,890","1,819","2,145","2,687","2,229","1,159","391","104","13","0","11,844","11,844","995","1,662","1,485","1,665","2,453","1,885","1,041","429","187","42","0"
"경기도 평택시 세교동(4122064000)","37,325","37,325","3,366","3,503","4,594","6,422","5,683","6,460","4,540","1,760","863","127","7","18,916","18,916","1,693","1,765","2,445","3,474","3,000","3,146","2,248","792","320","32","1","18,409","18,409","1,673","1,738","2,149","2,948","2,683","3,314","2,292","968","543","95","6","37,376","37,376","3,363","3,498","4,604","6,440","5,667","6,457","4,579","1,763","866","132","7","18,935","18,935","1,696","1,758","2,439","3,483","2,995","3,147","2,265","799","320","32","1","18,441","18,441","1,667","1,740","2,165","2,957","2,672","3,310","2,314","964","546","100","6","37,432","37,432","3,353","3,493","4,599","6,480","5,658","6,410","4,639","1,786","874","133","7","18,979","18,979","1,701","1,747","2,447","3,505","2,987","3,113","2,312","810","324","32","1","18,453","18,453","1,652","1,746","2,152","2,975","2,671","3,297","2,327","976","550","101","6","37,407","37,407","3,337","3,492","4,561","6,509","5,670","6,385","4,657","1,788","869","132","7","18,987","18,987","1,691","1,747","2,429","3,535","3,001","3,088","2,332","810","323","30","1","18,420","18,420","1,646","1,745","2,132","2,974","2,669","3,297","2,325","978","546","102","6","37,403","37,403","3,319","3,503","4,542","6,519","5,676","6,378","4,651","1,804","868","136","7","19,002","19,002","1,680","1,752","2,426","3,550","2,998","3,094","2,327","817","327","30","1","18,401","18,401","1,639","1,751","2,116","2,969","2,678","3,284","2,324","987","541","106","6","37,460","37,460","3,333","3,509","4,498","6,556","5,713","6,357","4,663","1,816","873","135","7","19,056","19,056","1,691","1,753","2,411","3,576","3,023","3,089","2,337","815","330","30","1","18,404","18,404","1,642","1,756","2,087","2,980","2,690","3,268","2,326","1,001","543","105","6"
